Date;Time;Severity;From;Line;Message
2019/02/14;15:53:19.026;ERROR;uv5kigwcfg-web-app-data.h;60;"No existe el Indice: (iTmDetFinLlamada)"
2019/02/14;15:53:19.552;ERROR;uv5kigwcfg-web-app-data.h;60;"No existe el Indice: (TReleaseBL)"
2019/02/14;15:53:19.566;DEBUG;cfg-proc.cpp;135;"Cambio Estado sincronizacion => 0"
2019/02/14;15:53:19.579;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,H02"
2019/02/14;15:53:19.594;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65001): C,H02"
2019/02/14;15:53:19.608;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65001"
2019/02/14;15:53:19.624;ERROR;working-config.cpp;74;"_recResponse...."
2019/02/14;15:53:19.637;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:19.812;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:22.517;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:24.722;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:26.319;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (10.1.1.1:65000): C,C03"
2019/02/14;15:53:26.332;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2019/02/14;15:53:26.418;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (10.1.1.3:65000): C,C03"
2019/02/14;15:53:26.436;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2019/02/14;15:53:26.922;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:27.017;INFO;his-proc.cpp;82;"(12784)=>HistClient. TICK"
2019/02/14;15:53:27.060;INFO;cfg-proc.cpp;269;"(14608)=>JsonClientProc. TICK"
2019/02/14;15:53:27.203;INFO;web-app-server.cpp;75;"(17740)=>WebAppServer. TICK"
2019/02/14;15:53:27.216;INFO;man-proc.cpp;89;"(16732)=>ManProc. TICK"
2019/02/14;15:53:27.239;INFO;file-supervisor.cpp;111;"(8976)=>FileSupervisor. TICK"
2019/02/14;15:53:28.123;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/14;15:53:29.116;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:31.321;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:33.626;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:35.821;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:38.022;INFO;his-proc.cpp;82;"(12784)=>HistClient. TICK"
2019/02/14;15:53:38.056;INFO;cfg-proc.cpp;269;"(14608)=>JsonClientProc. TICK"
2019/02/14;15:53:38.122;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:38.139;INFO;web-app-server.cpp;75;"(17740)=>WebAppServer. TICK"
2019/02/14;15:53:38.153;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/14;15:53:38.225;INFO;man-proc.cpp;89;"(16732)=>ManProc. TICK"
2019/02/14;15:53:38.238;INFO;file-supervisor.cpp;111;"(8976)=>FileSupervisor. TICK"
2019/02/14;15:53:40.321;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,1"
2019/02/14;15:53:42.356;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 0). REQUEST ERROR: GET /10.1.1.1/testconfig Host: 192.168.0.212:5050. :. "
2019/02/14;15:53:42.375;DEBUG;cfg-proc.cpp;135;"Cambio Estado sincronizacion => -3"
2019/02/14;15:53:42.428;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:53:45.353;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:53:45.426;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:53:48.132;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/14;15:53:48.356;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:53:48.427;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:53:49.023;INFO;his-proc.cpp;82;"(12784)=>HistClient. TICK"
2019/02/14;15:53:49.057;INFO;cfg-proc.cpp;269;"(14608)=>JsonClientProc. TICK"
2019/02/14;15:53:49.151;INFO;web-app-server.cpp;75;"(17740)=>WebAppServer. TICK"
2019/02/14;15:53:49.225;INFO;man-proc.cpp;89;"(16732)=>ManProc. TICK"
2019/02/14;15:53:49.239;INFO;file-supervisor.cpp;111;"(8976)=>FileSupervisor. TICK"
2019/02/14;15:53:51.364;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:53:51.420;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:53:54.375;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:53:54.422;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:53:57.377;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:53:57.430;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:53:58.128;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/14;15:54:00.023;INFO;his-proc.cpp;82;"(12784)=>HistClient. TICK"
2019/02/14;15:54:00.168;INFO;web-app-server.cpp;75;"(17740)=>WebAppServer. TICK"
2019/02/14;15:54:00.221;INFO;man-proc.cpp;89;"(16732)=>ManProc. TICK"
2019/02/14;15:54:00.244;INFO;file-supervisor.cpp;111;"(8976)=>FileSupervisor. TICK"
2019/02/14;15:54:00.387;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:00.404;INFO;cfg-proc.cpp;269;"(14608)=>JsonClientProc. TICK"
2019/02/14;15:54:00.427;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:03.392;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:03.429;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:06.394;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:06.431;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:08.135;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/14;15:54:09.399;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:09.427;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:11.032;INFO;his-proc.cpp;82;"(12784)=>HistClient. TICK"
2019/02/14;15:54:11.095;INFO;cfg-proc.cpp;269;"(14608)=>JsonClientProc. TICK"
2019/02/14;15:54:11.181;INFO;web-app-server.cpp;75;"(17740)=>WebAppServer. TICK"
2019/02/14;15:54:11.225;INFO;man-proc.cpp;89;"(16732)=>ManProc. TICK"
2019/02/14;15:54:11.250;INFO;file-supervisor.cpp;111;"(8976)=>FileSupervisor. TICK"
2019/02/14;15:54:12.405;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:12.433;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:15.408;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:15.427;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:18.134;INFO;code-base.cpp;199;"IsNtpSync: 0"
2019/02/14;15:54:18.426;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:18.444;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:21.425;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:21.442;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:22.027;INFO;cfg-proc.cpp;269;"(14608)=>JsonClientProc. TICK"
2019/02/14;15:54:22.042;INFO;his-proc.cpp;82;"(12784)=>HistClient. TICK"
2019/02/14;15:54:22.187;INFO;web-app-server.cpp;75;"(17740)=>WebAppServer. TICK"
2019/02/14;15:54:22.232;INFO;man-proc.cpp;89;"(16732)=>ManProc. TICK"
2019/02/14;15:54:22.247;INFO;file-supervisor.cpp;111;"(8976)=>FileSupervisor. TICK"
2019/02/14;15:54:24.452;ERROR;cfg-proc.cpp;254;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:5050:80. "
2019/02/14;15:54:24.528;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2019/02/14;15:54:26.234;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (10.1.1.1:65000): C,C03"
2019/02/14;15:54:26.248;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2019/02/14;15:54:26.334;DEBUG;his-proc.cpp;41;"TO-SNMP-SERVICE (10.1.1.3:65000): C,C03"
2019/02/14;15:54:26.352;ERROR;his-proc.cpp;69;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
